번호,화장실이름,관리부서,주소,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름
851,구즉동주민센터 1층,대전광역시 유성구청,대전광역시 유성구 봉산동 294,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동
852,봉산어린이공원,대전광역시 유성구청,대전광역시 유성구 봉산동 216,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동
853,장성어린이공원,대전광역시 유성구청,대전광역시 유성구 봉산동 186,3000000000,대전광역시,3020000000,유성구,3020058000,구즉동,3020014500,봉산동
855,암웨이프라자대전점,대전광역시 유성구청,대전광역시 유성구 봉명동 692-5,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
857,대전유성경찰서 유성지구대,대전광역시 유성구청,대전광역시 유성구 봉명동 676-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
858,대전광역시 상수도사업본부 유성사업소 4층,대전광역시 유성구청,대전광역시 유성구 봉명동 665-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
859,대전광역시 상수도사업본부 유성사업소 3층,대전광역시 유성구청,대전광역시 유성구 봉명동 665-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
860,대전광역시 상수도사업본부 유성사업소 2층,대전광역시 유성구청,대전광역시 유성구 봉명동 665-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
861,대전광역시 상수도사업본부 유성사업소 1층,대전광역시 유성구청,대전광역시 유성구 봉명동 665-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
866,상록빌딩,대전광역시 유성구청,대전광역시 유성구 봉명동 604-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
867,한방족욕카페,대전광역시 유성구청,대전광역시 유성구 봉명동 574,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
868,유성명물문화공원 - 아드리아호텔 앞,대전광역시 유성구청,대전광역시 유성구 봉명동 574,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
872,유성온천역,대전광역시 유성구청,대전광역시 유성구 봉명동 551-7,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
873,경성복집,대전광역시 유성구청,대전광역시 유성구 봉명동 540-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
876,온천관리사무소 2층,대전광역시 유성구청,대전광역시 유성구 봉명동 537-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
877,온천관리사무소 1층,대전광역시 유성구청,대전광역시 유성구 봉명동 537-1,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
881,유림근린공원-하,대전광역시 유성구청,대전광역시 유성구 봉명동 496-39,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
882,유성구 종합사회복지관 3층,대전광역시 유성구청,대전광역시 유성구 봉명동 451-5,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
883,유성구 종합사회복지관 2층,대전광역시 유성구청,대전광역시 유성구 봉명동 451-5,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
884,유성구 종합사회복지관 1층,대전광역시 유성구청,대전광역시 유성구 봉명동 451-5,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
885,유성구 종합사회복지관 1층 탈의실,대전광역시 유성구청,대전광역시 유성구 봉명동 451-5,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
886,유성구 종합사회복지관 지하1층,대전광역시 유성구청,대전광역시 유성구 봉명동 451-5,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
887,온천1동주민센터 3층,대전광역시 유성구청,대전광역시 유성구 봉명동 451,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
888,온천1동주민센터 2층,대전광역시 유성구청,대전광역시 유성구 봉명동 451,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
889,온천1동주민센터 1층,대전광역시 유성구청,대전광역시 유성구 봉명동 451,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
891,작은내수변공원,대전광역시 유성구청,대전광역시 유성구 봉명동 1057,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동
892,용반들근린공원,대전광역시 유성구청,대전광역시 유성구 봉명동 1025-1,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011100,봉명동
893,유림근린공원,대전광역시 유성구청,대전광역시 유성구 봉명동 1013,3000000000,대전광역시,3020000000,유성구,3020053000,온천1동,3020011100,봉명동
894,복용근린공원,대전광역시 유성구청,대전광역시 유성구 복용동 456-4,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011600,복용동
897,(주)신전사방동LPG충전소,대전광역시 유성구청,대전광역시 유성구 방동 474-4,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동
901,방동저수지,대전광역시 유성구청,대전광역시 유성구 방동 144-3,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동
902,라이온스동산,대전광역시 유성구청,대전광역시 유성구 방동 11-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011000,방동
904,미즈여성병원,대전광역시 유성구청,대전광역시 유성구 반석동 664-3,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013900,반석동
906,더존타워,대전광역시 유성구청,대전광역시 유성구 반석동 640-1,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동
910,노은2동우체국,대전광역시 유성구청,대전광역시 유성구 반석동 620-2,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동
911,반석역,대전광역시 유성구청,대전광역시 유성구 반석동 56,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013900,반석동
912,반석공원,대전광역시 유성구청,대전광역시 유성구 반석동 17-2,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020013900,반석동
913,세미래공원,대전광역시 유성구청,대전광역시 유성구 반석동 115-1,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020013900,반석동
914,유성구 평생학습원 전민센터 지하1층,대전광역시 유성구청,대전광역시 유성구 문지동 258-1,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
915,유성구 평생학습원 전민센터 4층,대전광역시 유성구청,대전광역시 유성구 문지동 258-1,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
916,유성구 평생학습원 전민센터 3층,대전광역시 유성구청,대전광역시 유성구 문지동 258-1,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
917,유성구 평생학습원 전민센터 2층,대전광역시 유성구청,대전광역시 유성구 문지동 258-1,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
918,유성구 평생학습원 전민센터 1층,대전광역시 유성구청,대전광역시 유성구 문지동 258-1,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
919,한국산업안전보건공단 대전지역본부 4층,대전광역시 유성구청,대전광역시 유성구 문지동 104-7,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
920,한국산업안전보건공단 대전지역본부 3층,대전광역시 유성구청,대전광역시 유성구 문지동 104-7,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
921,한국산업안전보건공단 대전지역본부 2층,대전광역시 유성구청,대전광역시 유성구 문지동 104-7,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
922,한국산업안전보건공단 대전지역본부 1층,대전광역시 유성구청,대전광역시 유성구 문지동 104-7,3000000000,대전광역시,3020000000,유성구,3020057000,전민동,3020014000,문지동
925,대덕연구단지우체국,대전광역시 유성구청,대전광역시 유성구 도룡동 394-3,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
926,대전유성경찰서 도룡지구대,대전광역시 유성구청,대전광역시 유성구 도룡동 394-2,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
927,천주교도룡동교회,대전광역시 유성구청,대전광역시 유성구 도룡동 380-55,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
928,대전무역전시관(외부),대전광역시 유성구청,대전광역시 유성구 도룡동 3-8,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
929,대전무역전시관(내부),대전광역시 유성구청,대전광역시 유성구 도룡동 3-8,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
930,대전북부소방서 1층,대전광역시 유성구청,대전광역시 유성구 도룡동 3-1,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
931,대전마케팅공사 4층,대전광역시 유성구청,대전광역시 유성구 도룡동 3-1,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
932,대전마케팅공사 3층,대전광역시 유성구청,대전광역시 유성구 도룡동 3-1,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
933,대전마케팅공사 2층,대전광역시 유성구청,대전광역시 유성구 도룡동 3-1,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
934,대전마케팅공사 1층,대전광역시 유성구청,대전광역시 유성구 도룡동 3-1,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
935,대전마케팅공사 지하1층,대전광역시 유성구청,대전광역시 유성구 도룡동 3-1,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012700,도룡동
943,대전교도소,대전광역시 유성구청,대전광역시 유성구 대정동 36,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동
944,한샘근린공원,대전광역시 유성구청,대전광역시 유성구 대정동 305,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동
945,(주)한진대정주유소,대전광역시 유성구청,대전광역시 유성구 대정동 300-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010300,대정동
946,노은농수산물도매시장 환경관리동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
947,노은농수산물도매시장 수산동 2층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
948,노은농수산물도매시장 수산동 1층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
949,대전세관 1층,대전광역시 유성구청,대전광역시 유성구 탑립동 693,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014300,탑립동
952,대전유성경찰서 노은파출소 2층,대전광역시 유성구청,대전광역시 유성구 지족동 921,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동
953,대전유성경찰서 노은파출소 1층,대전광역시 유성구청,대전광역시 유성구 지족동 921,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동
954,은구비공원,대전광역시 유성구청,대전광역시 유성구 지족동 920 은구비공원 화장실,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동
957,노은역,대전광역시 유성구청,대전광역시 유성구 지족동 903,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동
961,노은농수산물도매시장 양념동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
962,노은농수산물도매시장 저온경매장,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
963,노은농수산물도매시장 구근류동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
964,노은농수산물도매시장 친환경경매장,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
965,노은농수산물도매시장 채소B동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
937,복용승마장 3층,대전광역시 유성구청,대전광역시 유성구 덕명동 산10-11,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
938,복용승마장 2층,대전광역시 유성구청,대전광역시 유성구 덕명동 산10-11,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
939,복용승마장 1층,대전광역시 유성구청,대전광역시 유성구 덕명동 산10-11,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
940,미로공원,대전광역시 유성구청,대전광역시 유성구 덕명동 584,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
941,시간공원,대전광역시 유성구청,대전광역시 유성구 덕명동 527,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
966,노은농수산물도매시장 채소A동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
967,노은농수산물도매시장 청과물동 2층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
968,노은농수산물도매시장 청과물동 1층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
969,노은농수산물도매시장 청과물동 지하층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
970,월드컵경기장역,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
971,노은1동주민센터 3층,대전광역시 유성구청,대전광역시 유성구 노은동 546,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
972,노은1동주민센터 2층,대전광역시 유성구청,대전광역시 유성구 노은동 546,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
973,노은1동주민센터 1층,대전광역시 유성구청,대전광역시 유성구 노은동 546,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
976,대전광역시 선사박물관 2층,대전광역시 유성구청,대전광역시 유성구 노은동 523,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
977,대전광역시 선사박물관 1층,대전광역시 유성구청,대전광역시 유성구 노은동 523,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
978,노은119안전센터 1층,대전광역시 유성구청,대전광역시 유성구 노은동 503-6,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
979,대전지방기상청 2층,대전광역시 유성구청,대전광역시 유성구 구성동 22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
980,대전지방기상청 1층,대전광역시 유성구청,대전광역시 유성구 구성동 22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
981,금강유역환경청 별관3층 남자화장실,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
982,금강유역환경청 별관2층,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
983,금강유역환경청 별관1층 남자화장실,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
984,금강유역환경청 본관3층,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
985,금강유역환경청 본관1층,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
986,금강유역환경청 본관2층,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
987,금강유역환경청 실험동2층,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
988,성두산근린공원-후,대전광역시 유성구청,대전광역시 유성구 구성동 20,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
989,성두산근린공원-전,대전광역시 유성구청,대전광역시 유성구 구성동 20,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
992,촌정선곤드레밥,대전광역시 유성구청,대전광역시 유성구 지족동 884-2,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020012000,지족동
994,두루봉근린공원,대전광역시 유성구청,대전광역시 유성구 지족동 881-1,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동
997,노은도서관 1층,대전광역시 유성구청,대전광역시 유성구 지족동 871-6,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동
998,노은도서관 지하1층,대전광역시 유성구청,대전광역시 유성구 지족동 871-6,3000000000,대전광역시,3020000000,유성구,3020054700,노은2동,3020012000,지족동
1001,지족역,대전광역시 유성구청,대전광역시 유성구 지족동 836,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동
1003,해랑숲근린공원,대전광역시 유성구청,대전광역시 유성구 지족동 561,3000000000,대전광역시,3020000000,유성구,3020054800,노은3동,3020012000,지족동
1004,덜레기근린공원,대전광역시 유성구청,대전광역시 유성구 원신흥동 523,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동
1005,원신흥동주민센터 3층,대전광역시 유성구청,대전광역시 유성구 원신흥동 491-14,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동
1006,원신흥동주민센터 2층,대전광역시 유성구청,대전광역시 유성구 원신흥동 491-14,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동
1007,원신흥동주민센터 1층,대전광역시 유성구청,대전광역시 유성구 원신흥동 491-14,3000000000,대전광역시,3020000000,유성구,3020061000,원신흥동,3020011400,원신흥동
1008,진잠우체국,대전광역시 유성구청,대전광역시 유성구 원내동 92-14,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1009,진잠도서관 2층,대전광역시 유성구청,대전광역시 유성구 원내동 83,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1010,진잠도서관 1층,대전광역시 유성구청,대전광역시 유성구 원내동 83,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1011,진잠도서관 지하1층,대전광역시 유성구청,대전광역시 유성구 원내동 83,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1012,솔마루공원,대전광역시 유성구청,대전광역시 유성구 원내동 81,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1013,원내119안전센터 1층,대전광역시 유성구청,대전광역시 유성구 원내동 702-70,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1015,진잠체육공원,대전광역시 유성구청,대전광역시 유성구 원내동 416-2,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010100,원내동
1142,지질박물관 2층,대전광역시 유성구청,대전광역시 유성구 가정동 30,3000000000,대전광역시,3020000000,유성구,3020055000,신성동,3020012600,가정동
1018,대전광역시 농업기술센터 농기계동,대전광역시 유성구청,대전광역시 유성구 교촌동 568-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동
1019,대전광역시 농업기술센터 농심관2층,대전광역시 유성구청,대전광역시 유성구 교촌동 568-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동
1020,대전광역시 농업기술센터 농심관1층,대전광역시 유성구청,대전광역시 유성구 교촌동 568-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동
1021,대전광역시 농업기술센터 본관2층,대전광역시 유성구청,대전광역시 유성구 교촌동 568-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동
1022,대전광역시 농업기술센터 본관1층,대전광역시 유성구청,대전광역시 유성구 교촌동 568-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동
1023,대전광역시 농업기술센터 원예치료실,대전광역시 유성구청,대전광역시 유성구 교촌동 568-1,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010200,교촌동
1027,관평도서관 2층,대전광역시 유성구청,대전광역시 유성구 관평동 917,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동
1028,관평도서관 1층,대전광역시 유성구청,대전광역시 유성구 관평동 917,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동
1030,관평동주민센터 3층,대전광역시 유성구청,대전광역시 유성구 관평동 905,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동
1031,관평동주민센터 2층,대전광역시 유성구청,대전광역시 유성구 관평동 905,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동
1032,관평동주민센터 1층,대전광역시 유성구청,대전광역시 유성구 관평동 905,3000000000,대전광역시,3020000000,유성구,3020060000,관평동,3020014600,관평동
